Codigo;Denominacion_Generica_ES;Denominacion_Generica_VAL;Denominacion_Especifica;Denominacion;Regimen;Tipo_Via;Direccion;Num;Codigo_postal;Localidad;Provincia;Telefono;Fax;COD_EDIFICACION;long;lat;Titularidad;CIF;Comarca
03000448;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA;LA SALLE;CENTRE PRIVAT LA SALLE;Priv. Conc.;CR;CHORRADOR;1;3803;ALCOI;Alacant;966540010;966526412;1;-0.478487;38.707147;;;L'ALCOIÀ
03000451;CENTRO PRIVADO DE EDUCACIÓN INFANTIL;CENTRE PRIVAT D'EDUCACIÓ INFANTIL;EL SALVADOR;CENTRE PRIV. ED. INFANTIL EL SALVADOR;Priv.;CL;ENTENZA;78;3803;ALCOI;Alacant;965336867;965336867;1;-0.477031;38.703978;;;L'ALCOIÀ
03000473;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA;SANT ROC;CENTRE PRIVAT SANT ROC;Priv. Conc.;CL;ESPRONCEDA;1;3803;ALCOI;Alacant;965331560;966331836;1;-0.481553;38.698557;;;L'ALCOIÀ
03000485;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA;SAN VICENTE FERRER;CENTRE PRIVAT SAN VICENTE FERRER;Priv. Conc.;PZ;MOSSÉN JOSEP;1;3801;ALCOI;Alacant;965540866;965546063;1;-0.47606;38.693842;;;L'ALCOIÀ
03000497;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA;SAN VICENTE DE PAÚL;CENTRE PRIVAT SAN VICENTE DE PAÚL;Priv. Conc.;CL;LA MILAGROSA;1;3802;ALCOI;Alacant;965331878;965332748;1;-0.487953;38.697443;;;L'ALCOIÀ
03000503;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA;SANTA ANA;CENTRE PRIVAT SANTA ANA;Priv. Conc.;CL;ISABEL II;5;3802;ALCOI;Alacant;965332228;965330670;1;-0.481188;38.693344;;;L'ALCOIÀ
03000588;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;SANTÍSIMO CRISTO BUEN ACIERTO;CEIP SANTÍSIMO CRISTO BUEN ACIERTO;Púb.;CL;CAMÍ DE LA MAR;21;3580;L'ALFÀS DEL PI;Alacant;966870740;;1;-0.097102;38.57893;GENERALITAT VALENCIANA;Q5355160B;LA MARINA BAIXA
03000591;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;MIGUEL DE CERVANTES;CEIP MIGUEL DE CERVANTES;Púb.;CL;MIGUEL HERNÁNDEZ;1-3;3169;ALGORFA;Alacant;965290135;;1;-0.795148;38.08596;GENERALITAT VALENCIANA;Q5355159D;EL BAIX SEGURA/ LA VEGA BAJA
03000606;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;VIRGEN DEL REMEDIO;CEIP VIRGEN DEL REMEDIO;Púb.;PS;DE LA LIBERTAD;S/N;3668;ALGUEÑA;Alacant;966957345;;1;-1.00539;38.337071;GENERALITAT VALENCIANA;Q5355158F;EL VINALOPÓ MITJÀ/ EL VINALOPÓ MEDIO
03000679;INSTITUTO DE EDUCACIÓN SECUNDARIA;INSTITUT D'EDUCACIÓ SECUNDÀRIA;JAIME II;IES JAIME II;Púb.;CL;DOCTOR CRISTÓBAL PARDO;4;3015;ALACANT;Alacant;965936465;;1;-0.470363;38.362228;GENERALITAT VALENCIANA;Q5355572H;L'ALACANTÍ
03000692;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;EUSEBIO SEMPERE;CEIP EUSEBIO SEMPERE;Púb.;CL;ISIDORO DE SEVILLA;2;3009;ALACANT;Alacant;965936210;;1;-0.503569;38.370572;GENERALITAT VALENCIANA;Q5355577G;L'ALACANTÍ
03000709;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;MANJÓN-CERVANTES;CEIP MANJÓN-CERVANTES;Púb.;CL;MONTERO RÍOS;2;3012;ALACANT;Alacant;965932515;;1;-0.482196;38.35745;GENERALITAT VALENCIANA;Q5355010I;L'ALACANTÍ
03000710;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;SAN ROQUE;CEIP SAN ROQUE;Púb.;CL;VILLAVIEJA;S/N;3002;ALACANT;Alacant;965937045;;1;-0.47826;38.346721;GENERALITAT VALENCIANA;Q5355542A;L'ALACANTÍ
03000722;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;9 D'OCTUBRE;CEIP 9 D'OCTUBRE;Púb.;CL;PINOSO;27;3012;ALACANT;Alacant;965919020;;1;-0.480952;38.359595;GENERALITAT VALENCIANA;Q5355187E;L'ALACANTÍ
03000734;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;BENALÚA;CEIP BENALÚA;Púb.;CL;DOCTOR JUST;70;3007;ALACANT;Alacant;965919040;;1;-0.497166;38.338719;GENERALITAT VALENCIANA;Q5355053I;L'ALACANTÍ
03000758;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA;NUESTRA SEÑORA DE LOS ÁNGELES;CENTRE PRIVAT NUESTRA SEÑORA DE LOS ÁNGELES;Priv. Conc.;CL;PARDO BAZÁN;8;3010;ALACANT;Alacant;965170417;965170417;1;-0.494949;38.366174;;;L'ALACANTÍ
03000813;CENTRO PRIVADO DE EDUCACIÓN INFANTIL Y PRIMARIA;CENTRE PRIVAT D'EDUCACIÓ INFANTIL I PRIMÀRIA;VIRGEN DEL ROSARIO;CENTRE PRIVAT VIRGEN DEL ROSARIO;Priv. Conc.;PZ;FLORIDA-PORTAZGO;6;3006;ALACANT;Alacant;965110152;965106401;1;-0.509212;38.346276;;;L'ALACANTÍ
03000849;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA;INMACULADA;CENTRE PRIVAT INMACULADA;Priv. Conc.;AV;DE DÉNIA;98;3016;ALACANT;Alacant;965268144;965225113;1;-0.464536;38.361318;;;L'ALACANTÍ
03000904;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA;CEU JESÚS MARÍA;CENTRE PRIVAT CEU JESÚS MARÍA;Priv. Conc.;CL;DEPORTISTA ALEJANDRA QUEREDA;15;3016;ALACANT;Alacant;965261400;965261533;1;-0.45383;38.371102;;;L'ALACANTÍ
03000931;CENTRO PRIVADO DE EDUCACIÓN INFANTIL DE PRIMER CICLO;CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE;CIUDAD INFANTIL SAN JORGE;CENTRE PRIV. ED. INFANTIL CIUDAD INFANTIL SAN JORGE;Priv.;AV;DEL DOCTOR RICO;15;3005;ALACANT;Alacant;965927661;965227547;1;-0.498204;38.35384;;;L'ALACANTÍ
03000965;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA;MARÍA AUXILIADORA;CENTRE PRIVAT MARÍA AUXILIADORA;Priv. Conc.;CL;ISLA DE CORFÚ;7;3005;ALACANT;Alacant;965921008;;1;-0.50756;38.357399;;;L'ALACANTÍ
03000989;CENTRO PRIVADO DE EDUCACIÓN PRIMARIA Y SECUNDARIA;CENTRE PRIVAT D'EDUCACIÓ PRIMÀRIA I SECUNDÀRIA;NAZARET;CENTRE PRIVAT NAZARET;Priv. Conc.;CL;CALPE;S/N;3005;ALACANT;Alacant;965171815;965181150;1;-0.49811;38.359687;;;L'ALACANTÍ
03001003;CENTRO DOCENTE PRIVADO EXTRANJERO;CENTRE DOCENT PRIVAT ESTRANGER;LYCÉE FRANÇAIS D'ALICANTE PIERRE DESCHAMPS;CENTRE ESTRANGER LYCÉE FRANÇAIS D'ALICANTE PIERRE DESCHAMPS;Priv.;CM;DE MARCO;21;3560;EL CAMPELLO;Alacant;965262508;965659938;1;-0.412695;38.401394;;;L'ALACANTÍ
03001039;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA;SANTA MARÍA DEL CARMEN;CENTRE PRIVAT SANTA MARÍA DEL CARMEN;Priv. Conc.;CL;MADRE ELISEA OLIVER;2;3005;ALACANT;Alacant;965174767;965175040;1;-0.501422;38.36236;;;L'ALACANTÍ
03001088;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA;NUESTRA SEÑORA DEL REMEDIO;CENTRE PRIVAT NUESTRA SEÑORA DEL REMEDIO;Priv. Conc.;PS;DE CAMPOAMOR;4;3010;ALACANT;Alacant;965246990;965257124;1;-0.486107;38.353432;;;L'ALACANTÍ
03001121;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA;LA PURÍSIMA Y SAN FRANCISCO;CENTRE PRIVAT LA PURÍSIMA Y SAN FRANCISCO;Priv. Conc.;CL;PADRE RECAREDO DE LOS RÍOS;53;3005;ALACANT;Alacant;965132519;965228215;1;-0.503515;38.348644;;;L'ALACANTÍ
03001143;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA;SAGRADA FAMILIA;CENTRE PRIVAT SAGRADA FAMILIA;Priv. Conc.;CL;FRANCISCO CARRATALÁ CERNUDA;13;3010;ALACANT;Alacant;965252875;965240562;1;-0.486397;38.357197;;;L'ALACANTÍ
03001167;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA;SAGRADO CORAZÓN HH. MARISTAS;CENTRE PRIVAT SAGRADO CORAZÓN HH. MARISTAS;Priv. Conc.;CL;ISLA DE CORFÚ;5;3005;ALACANT;Alacant;965130941;965126132;1;-0.506557;38.356923;;;L'ALACANTÍ
03001179;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA;SAGRADOS CORAZONES;CENTRE PRIVAT SAGRADOS CORAZONES;Priv. Conc.;CM;CRUZ DE PIEDRA;21;3013;ALACANT;Alacant;965261728;965261728;1;-0.467901;38.360549;;;L'ALACANTÍ
03001180;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA;SAN AGUSTÍN;CENTRE PRIVAT SAN AGUSTÍN;Priv. Conc.;CL;PINTOR PEDRO CAMACHO;2;3015;ALACANT;Alacant;965156070;965150141;1;-0.476253;38.371573;;;L'ALACANTÍ
03001192;CENTRO PRIVADO DE EDUCACIÓN INFANTIL Y PRIMARIA;CENTRE PRIVAT D'EDUCACIÓ INFANTIL I PRIMÀRIA;SAN ANTONIO;CENTRE PRIVAT SAN ANTONIO;Priv. Conc.;PZ;SAN ANTONIO;1;3004;ALACANT;Alacant;965204900;;1;-0.48755;38.351021;;;L'ALACANTÍ
03001209;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA;SAN JOSÉ;CENTRE PRIVAT SAN JOSÉ;Priv. Conc.;CL;MARTOS;7;3012;ALACANT;Alacant;965254748;965916103;1;-0.481328;38.357685;;;L'ALACANTÍ
03001210;CENTRO PRIVADO DE EDUCACIÓN INFANTIL Y PRIMARIA;CENTRE PRIVAT D'EDUCACIÓ INFANTIL I PRIMÀRIA;JESÚS MARÍA-ASÍS;CENTRE PRIVAT JESÚS MARÍA-ASÍS;Priv. Conc.;CL;ALGOL;33;3006;ALACANT;Alacant;965280113;965280926;1;-0.513868;38.347344;;;L'ALACANTÍ
03001222;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA;SAN JOSÉ DE CAROLINAS;CENTRE PRIVAT SAN JOSÉ DE CAROLINAS;Priv. Conc.;CL;GARBINET;87;3012;ALACANT;Alacant;965252190;965252190;1;-0.480504;38.360215;;;L'ALACANTÍ
03001234;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA;SAN JUAN BAUTISTA;CENTRE PRIVAT SAN JUAN BAUTISTA;Priv. Conc.;CL;SAN AGATANGELO;45;3007;ALACANT;Alacant;965100095;965107854;1;-0.499379;38.340095;;;L'ALACANTÍ
03001246;CENTRO PRIVADO DE EDUCACIÓN INFANTIL Y PRIMARIA;CENTRE PRIVAT D'EDUCACIÓ INFANTIL I PRIMÀRIA;SAN JUAN DE LA CRUZ;CENTRE PRIVAT SAN JUAN DE LA CRUZ;Priv. Conc.;CL;GENERAL ESPARTERO;6;3012;ALACANT;Alacant;965248181;;1;-0.482847;38.35779;;;L'ALACANTÍ
03001313;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA;SANTA TERESA-VISTAHERMOSA;CENTRE PRIVAT SANTA TERESA-VISTAHERMOSA;Priv. Conc.;CL;CRUZ DE PIEDRA;1;3015;ALACANT;Alacant;965262000;965262111;1;-0.463223;38.364331;;;L'ALACANTÍ
03001428;CENTRO PRIVADO DE EDUCACIÓN INFANTIL Y PRIMARIA;CENTRE PRIVAT D'EDUCACIÓ INFANTIL I PRIMÀRIA;CENTRO DIOCESANO NTRA.SRA.DEL CARMEN DE CASALARGA;CENTRE PRIVAT CENTRO DIOCESANO N.S.DEL CARMEN DE CASALARGA;Priv. Conc.;PZ;GARCÍA LORCA;16;3015;ALACANT;Alacant;965183537;965183537;1;-0.479611;38.372124;;;L'ALACANTÍ
03001431;ESCUELA INFANTIL DE PRIMER CICLO;ESCOLA INFANTIL DE PRIMER CICLE;BENACANTIL;EI 1er CICLE BENACANTIL;Púb.;CL;EJÉRCITOS ESPAÑOLES;S/N;3014;ALACANT;Alacant;965918710;;1;-0.482746;38.369552;GENERALITAT VALENCIANA;Q5355333E;L'ALACANTÍ
03001477;COLEGIO DE EDUCACIÓN PRIMARIA;COL·LEGI D'EDUCACIÓ PRIMÀRIA;CENTRO DE RECEPCIÓN;CEP CENTRO DE RECEPCIÓN;Púb.;CL;PRIMITIVO PÉREZ;21;3010;ALACANT;Alacant;965937330;;1;-0.487003;38.358913;GENERALITAT VALENCIANA;Q5355540E;L'ALACANTÍ
03001490;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;SAN FERNANDO;CEIP SAN FERNANDO;Púb.;CL;CIUDAD REAL;33;3005;ALACANT;Alacant;965936360;;1;-0.499086;38.35475;GENERALITAT VALENCIANA;Q5355546B;L'ALACANTÍ
03001507;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;PEDRO DUQUE;CEIP PEDRO DUQUE;Púb.;CL;ARTISTA FOGUERER;2;3015;ALACANT;Alacant;965919680;;1;-0.469966;38.368873;GENERALITAT VALENCIANA;Q5355559E;L'ALACANTÍ
03001519;COLEGIO DE EDUCACIÓN PRIMARIA;COL·LEGI D'EDUCACIÓ PRIMÀRIA;MAESTRO LÓPEZ SORIA;CEP MAESTRO LÓPEZ SORIA;Púb.;AV;ALCALDE LORENZO CARBONELL;3;3008;ALACANT;Alacant;965937350;;1;-0.50279;38.339291;GENERALITAT VALENCIANA;Q5355558G;L'ALACANTÍ
03001544;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;AUSIÀS MARCH;CEIP AUSIÀS MARCH;Púb.;CL;CERES;24;3009;ALACANT;Alacant;965919030;;1;-0.494025;38.360049;GENERALITAT VALENCIANA;Q5355124H;L'ALACANTÍ
03001568;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;JOAQUÍN SOROLLA;CEIP JOAQUÍN SOROLLA;Púb.;CL;ALBACETE;S/N;3005;ALACANT;Alacant;965936270;;1;-0.497485;38.350785;GENERALITAT VALENCIANA;Q5355115F;L'ALACANTÍ
03001571;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;CARLOS ARNICHES;CEIP CARLOS ARNICHES;Púb.;CL;ALONSO CANO;19;3014;ALACANT;Alacant;965919740;;1;-0.480233;38.364653;GENERALITAT VALENCIANA;Q5355123J;L'ALACANTÍ
03001581;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;FLORIDA;CEIP FLORIDA;Púb.;CL;PIANISTA GONZALO SORIANO;3;3007;ALACANT;Alacant;965936220;;1;-0.508267;38.340007;GENERALITAT VALENCIANA;Q5355054G;L'ALACANTÍ
03001601;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;CAMPOAMOR;CEIP CAMPOAMOR;Púb.;PS;DE CAMPOAMOR;1;3010;ALACANT;Alacant;965919730;;1;-0.486806;38.355123;GENERALITAT VALENCIANA;Q5355549F;L'ALACANTÍ
03001623;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;LA PAZ;CEIP LA PAZ;Púb.;CL;ABOGADO PÉREZ MIRETE;S/N;3011;ALACANT;Alacant;965936320;;1;-0.4922;38.373308;GENERALITAT VALENCIANA;Q5355552J;L'ALACANTÍ
03001647;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;PRÁCTICAS-LA ANEJA;CEIP PRÁCTICAS-LA ANEJA;Púb.;CL;MONTE TOSSAL;S/N;3004;ALACANT;Alacant;965937360;;1;-0.493242;38.351997;GENERALITAT VALENCIANA;Q5355092G;L'ALACANTÍ
03001659;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;SAN GABRIEL;CEIP SAN GABRIEL;Púb.;CL;MÚSICO JOSÉ ALCARAZ PÉREZ;4;3008;ALACANT;Alacant;965936380;;1;-0.514774;38.33102;GENERALITAT VALENCIANA;Q5355544G;L'ALACANTÍ
03001660;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;SAN FRANCISCO DE ASÍS;CEIP SAN FRANCISCO DE ASÍS;Púb.;CL;CEFEO;82;3006;ALACANT;Alacant;965937370;;1;-0.515231;38.347631;GENERALITAT VALENCIANA;Q5355545D;L'ALACANTÍ
03001672;COLEGIO DE EDUCACIÓN PRIMARIA;COL·LEGI D'EDUCACIÓ PRIMÀRIA;VIRGEN DEL REMEDIO;CEP VIRGEN DEL REMEDIO;Púb.;CL;LAS PALMAS;1;3014;ALACANT;Alacant;965937310;;1;-0.486212;38.371035;GENERALITAT VALENCIANA;Q5355063H;L'ALACANTÍ
03001726;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA;SANTÍSIMO SACRAMENTO FEYDA;CENTRE PRIVAT SANTÍSIMO SACRAMENTO FEYDA;Priv. Conc.;CL;NOU D'OCTUBRE;1;3012;ALACANT;Alacant;965258356;965259401;1;-0.48475;38.356313;;;L'ALACANTÍ
