the_geom,codigo,dgenerica,despecific,regimen,tipocalle,direccion,numero,codpostal,localidad,provincia,telefono,fax,cp,codigoine,cartodb_id,created_at,updated_at
0101000020E6100000E9B64EA0AB74D9BFFBE4284014BB4340,46021885,CENTRE PRIVAT D'EDUCACIÓ INFA,EL CABIROL,true,CL,ALQUERIA BENLLOCH,11,46014,VALENCIA,València,963570245,,46014,46250,1229,2014-08-29 16:49:24.65794+00,2014-09-06 18:25:17.435233+00,A
0101000020E6100000FC59B47FECF5DCBF29B39CDF8BBB4340,46000845,"CENTRE PRIVAT E. INFANTIL, PRI",MARIANO SERRA,true,CM,FONDO,S/N,46960,ALDAIA,València,961504515,961519123,46960,46021,1662,2014-08-29 16:49:24.65794+00,2014-09-06 18:25:17.435233+00,AC
0101000020E6100000355B971F5AB9D6BF2C6AE67FA8BB4340,46028481,CENTRE PRIVAT D'EDUCACIÓ INFA,EL CUCURUCHO II,true,CL,ISLAS CANARIAS,44,46023,VALENCIA,València,963375125,,46023,46250,2796,2014-08-29 16:49:24.65794+00,2014-09-06 18:25:17.435233+00,A
0101000020E610000015380940040EE3BFE8375D60A0D04340,46004814,"CENTRE PRIVAT E. INFANTIL, PRI",FRANCISCO LLOPIS LATORRE,true,CL,SAN VICENTE,40,46160,LLÍRIA,València,962792585,962791061,46160,46147,1741,2014-08-29 16:49:24.65794+00,2014-09-06 18:25:17.435233+00,AC
0101000020E6100000EC7DC65F3C2EE5BF01CE9C3FB7854340,46003469,CENTRO PRIVADO DE EDUCACIÓN I,SAGRADO CORAZÓN DE JESÚS,true,CL,NUEVA,14,46821,CHELLA,València,962220010,962220010,46821,46107,1726,2014-08-29 16:49:24.65794+00,2014-09-06 18:25:17.435233+00,A
0101000020E6100000ED25AEDF230DDABFDFEC20C033BD4340,46034260,CENTRE DOCENT PRIVAT ESTRANGER,VALENCIA MONTESSORI SCHOOL,true,AV,PÍO BAROJA,3,46015,VALENCIA,València,963475201,,46015,46250,3381,2014-08-29 16:49:24.65794+00,2014-09-06 18:25:17.435233+00,H
0101000020E610000093A881603A1FDCBF17B14F00C5B74340,46030886,CENTRE PRIVAT D'EDUCACIÓ INFA,EL CUQUET,true,CL,MARE DE DÉU DE MONTSERRAT,32,46210,PICANYA,València,961593331,,46210,46193,2206,2014-08-29 16:49:24.65794+00,2014-09-06 18:25:17.435233+00,A
0101000020E6100000BB88CDFF5F20D6BFEC7BD45FAFC34340,46021976,ESCOLA PRIVADA DE MÚSICA,KODALY DE MELIANA,true,CL,SANT ANTONI,S/N,46133,MELIANA,València,961496135,,46133,46166,449,2014-08-29 16:49:24.65794+00,2014-09-06 18:25:17.435233+00,G
0101000020E6100000027822C09D6FE8BF9478E51F22314340,03006724,"CENTRE PRIVAT E. INFANTIL, PRI",ORATORIO FESTIVO,true,CL,MARÍA AUXILIADORA,9,3660,NOVELDA,Alacant,965604406,965624661,03660,3093,1487,2014-08-29 16:49:24.65794+00,2014-09-06 18:25:17.435233+00,AC
0101000020E6100000B27A9BBF8844D6BF569F6120BEC34340,46005351,"CENTRE PRIVAT E. INFANTIL, PRI",SAGRADO CORAZÓN,true,CL,EDUARDO ROMERO,6,46133,MELIANA,València,961493430,961481278,46133,46166,1600,2014-08-29 16:49:24.65794+00,2014-09-06 18:25:17.435233+00,AC
0101000020E6100000E3AB7A7FD7F5BB3F37EDCE7FB46B4340,03004201,"CENTRE PRIVAT E. INFANTIL, PRI",SAN JUAN BAUTISTA,true,CL,CANDIDA CARBONELL,4,3700,DÉNIA,Alacant,965780242,965786311,03700,3063,1665,2014-08-29 16:49:24.65794+00,2014-09-06 18:25:17.435233+00,AC
0101000020E610000003B241A0DF69DE3FE3744820143C4440,12003110,"CENTRE PRIVAT E. INFANTIL, PRI",NUESTRA SEÑORA DE LA CONSOLAC,true,CL,NUESTRA SRA. DEL SOCORRO,74-80,12500,VINARÒS,Castelló,964450625,964455256,12500,12138,307,2014-08-29 16:49:24.65794+00,2014-09-06 18:25:17.435233+00,AC
0101000020E61000008A1F3700BA2FA7BF8D5143C0C6FD4340,12004229,CENTRE PRIVAT D'EDUCACIÓ INFA,L'ALBADA,true,CL,REPÚBLICA ARGENTINA,14,12006,CASTELLÓ DE LA PLANA,Castelló,964204744,,12006,12040,2755,2014-08-29 16:49:24.65794+00,2014-09-06 18:25:17.435233+00,A
0101000020E6100000C7E2BFBF8F6ADDBF5C8B16A06DBA4340,46022041,ESCOLA PRIVADA DE MÚSICA,CENTRE EDUCACIÓ MUSICAL I ART,true,CL,DE LA MÚSICA,12,46970,ALAQUÀS,València,961515250,961525250,46970,46005,2219,2014-08-29 16:49:24.65794+00,2014-09-06 18:25:17.435233+00,G
0101000020E6100000D8CF807FEC83D5BF9E82B2DFC9BC4340,46024941,CENTRE PRIVAT D'EDUCACIÓ INFA,BETERO,true,CL,CAMPILLO DEL ALTOBUEY,14,46022,VALENCIA,València,963563423,,46022,46250,541,2014-08-29 16:49:24.65794+00,2014-09-06 18:25:17.435233+00,A
0101000020E61000003DD8B5FFF944DBBFA419E65F26994340,46031258,CENTRE PRIVAT D'EDUCACIÓ INFA,EL BRESSOL,true,CL,L'ALACANTÍ,8,46680,ALGEMESÍ,València,695787738,,46680,46029,2444,2014-08-29 16:49:24.65794+00,2014-09-06 18:25:17.435233+00,A
0101000020E6100000B2F8E97F86C5DDBF7BF9F8DFA5AD4340,46030400,ESCOLA PRIVADA DE MÚSICA,L'OM,true,CL,ALFARB,10,46220,PICASSENT,València,647748226,,46220,46194,1897,2014-08-29 16:49:24.65794+00,2014-09-06 18:25:17.435233+00,G
0101000020E61000003AB7B23FAE7FD7BF9FC0E03F82BA4340,46026494,CENTRE PRIVAT D'EDUCACIÓ INFA,CATXIRULO,true,CL,RAFAEL CORT,3,46006,VALENCIA,València,963282125,,46006,46250,3128,2014-08-29 16:49:24.65794+00,2014-09-06 18:25:17.435233+00,A
0101000020E6100000C1396C2032ACD9BFD743A09F4EB64340,46029483,ESCOLA PRIVADA DE MÚSICA,DE LA UNIÓ MUSICAL DE BENETUS,true,PZ,CARDENAL BENLLOCH,4,46910,BENETÚSSER,València,,,46910,46054,3054,2014-08-29 16:49:24.65794+00,2014-09-06 18:25:17.435233+00,G
0101000020E6100000ABE9BEBFE8F2EBBF8EB81160A2164340,03018155,ESCUELA PRIVADA DE MÚSICA,ASOCIACIÓN MUSICAL SANTIAGO A,true,CL,JOSÉ CÁNOVAS SERNA,29,3340,ALBATERA,Alacant,,,03340,3005,2210,2014-08-29 16:49:24.65794+00,2014-09-06 18:25:17.435233+00,G
0101000020E6100000014DB9FF1EF5C5BF923DF83F761B4440,12006101,ESCOLA PRIVADA DE MÚSICA,,true,AV,SANT ISIDRE,S/N,12132,ATZENETA DEL MAESTRAT,Castelló,699959976,,12132,12001,2838,2014-08-29 16:49:24.65794+00,2014-09-06 18:25:17.435233+00,G
0101000020E6100000EECCF2DFFD0DEEBFD7F15F20089F4340,46020923,ESCUELA PRIVADA DE MÚSICA,EL CORBINET,true,CL,CONSTITUCIÓN,5,46199,CORTES DE PALLÁS,València,962517286,,46199,46099,489,2014-08-29 16:49:24.65794+00,2014-09-06 18:25:17.435233+00,G
0101000020E6100000C9B033801552D8BFCC94D6DF12BA4340,46029513,ESCOLA PRIVADA DE MÚSICA,SOCIETAT MUSICAL BARRI MALILLA,true,CL,DRETS HUMANS,9,46006,VALENCIA,València,,,46006,46250,3086,2014-08-29 16:49:24.65794+00,2014-09-06 18:25:17.435233+00,G
0101000020E61000009AD1EC40F1F1CBBF143834C060814340,46020819,ESCOLA PRIVADA DE MÚSICA,,true,CL,VALENCIA,4,46790,XERESA,València,962845583,,46790,46146,958,2014-08-29 16:49:24.65794+00,2014-09-06 18:25:17.435233+00,G
0101000020E6100000DFB0FFFDD3D4BA3FFF0241800C5D4340,03014666,CENTRE PRIVAT FORMACIÓ PROFES,HEMEROSCOPEA,true,AV,DEL MEDITERRÁNEO,136,3725,TEULADA,Alacant,965741212,,03725,3128,1021,2014-08-29 16:49:24.65794+00,2014-09-06 18:25:17.435233+00,F
0101000020E6100000891C2CE0C116D8BFF58E64A07CBA4340,46017067,CENTRE PRIVAT FORMACIÓ PROFES,C.A.J.,true,CL,DOCTOR DOMAGK,1,46006,VALENCIA,València,963732199,963336486,46006,46250,142,2014-08-29 16:49:24.65794+00,2014-09-06 18:25:17.435233+00,F
0101000020E610000003B26C203CBED6BFB421B53F06BC4340,46025726,CENTRE PRIVAT D'EDUCACIÓ INFA,WINNIE,true,CL,CARDENAL BENLLOCH,40,46021,VALENCIA,València,963890975,,46021,46250,2746,2014-08-29 16:49:24.65794+00,2014-09-06 18:25:17.435233+00,A
0101000020E6100000B951C41FCE6EDBBF08104FC0C0BB4340,46026512,CENTRE PRIVAT FORMACIÓ PROFES,"CENTRO DE ESTUDIOS APPEND, SL",true,CL,JAIME GARCÍA SORIA,3,46950,XIRIVELLA,València,963790079,963790079,46950,46110,3124,2014-08-29 16:49:24.65794+00,2014-09-06 18:25:17.435233+00,F
0101000020E61000009BF2C27FB5F8EBBFB2A899FFA1524340,03009191,"CENTRO PRIVADO E. INFANTIL, PR",LA ENCARNACIÓN,true,CL,ESTEBAN BARBADO,5,3400,VILLENA,Alacant,965803251,965340165,03409,3140,524,2014-08-29 16:49:24.65794+00,2014-09-06 18:25:17.435233+00,AC
0101000020E61000009A9E8EFFB6D2D7BF63B2B8FFC8BB4340,46032780,CENTRE PRIVAT D'EDUCACIÓ INFA,XICOTETS,true,CL,CIRILO AMORÓS,27,46004,VALENCIA,València,963943461,963943461,46004,46250,3282,2014-08-29 16:49:24.65794+00,2014-09-06 18:25:17.435233+00,A
0101000020E6100000ABEB853F191CD7BFC0E84DA0E3BD4340,46033966,CENTRE PRIVAT D'EDUCACIÓ INFA,IMPULSO INICIAL,true,CL,M. CUENCA TRAMOYERES,7,46020,VALENCIA,València,963693406,,46020,46250,3335,2014-08-29 16:49:24.65794+00,2014-09-06 18:25:17.435233+00,A
0101000020E6100000EEB208C09D36EDBF9DB1D41F060F4340,03017254,CENTRO PRIVADO DE EDUCACIÓN I,SAN CARLOS,true,CL,RAFAEL POVEDA,S/N,3370,REDOVÁN,Alacant,966735507,,03370,3111,2816,2014-08-29 16:49:24.65794+00,2014-09-06 18:25:17.435233+00,A
0101000020E6100000421EF67F6473D7BFFBE1E7BF07BD4340,46011077,"CENTRE PRIVAT E. INFANTIL, PRI",SAGRADO CORAZÓN DE JESÚS -ES,true,CL,MICER MASCÓ,1,46010,VALENCIA,València,963691100,963691104,46010,46250,1389,2014-08-29 16:49:24.65794+00,2014-09-06 18:25:17.435233+00,AC
0101000020E610000052183340A48ADABFEB1406C0D3B24340,46000249,"CENTRE PRIVAT E. INFANTIL, PRI",SANTA ANA Y SAN JOSÉ DE LA MO,true,PZ,DE LA IGLESIA,10,46470,ALBAL,València,961261984,961266426,46470,46007,617,2014-08-29 16:49:24.65794+00,2014-09-06 18:25:17.435233+00,AC
0101000020E61000009F6B094076B3E1BF41CEFBFF38C74340,46023021,CENTRE PRIVAT D'EDUCACIÓ INFA,CAMPANILLA,true,AV,DE ITALIA,2-4,46190,RIBA-ROJA DE TÚRIA,València,962750971,962750263,46190,46214,2019,2014-08-29 16:49:24.65794+00,2014-09-06 18:25:17.435233+00,A
0101000020E6100000EB8441E01B5FD8BF9993BCDF0DBE4340,46025593,CENTRE PRIVAT D'EDUCACIÓ INFA,GARABATOS,true,CL,DOCTOR OLÓRIZ,32,46009,VALENCIA,València,963488253,963488253,46009,46250,2768,2014-08-29 16:49:24.65794+00,2014-09-06 18:25:17.435233+00,A
0101000020E610000017DFCEC0F38BC6BFE307F87F1F7C4340,46004073,"CENTRE PRIVAT E. INFANTIL, PRI",ABECÉ,true,AV,DEL GRAU,36,46701,GANDIA,València,962874742,962874744,46701,46131,1569,2014-08-29 16:49:24.65794+00,2014-09-06 18:25:17.435233+00,AC
