the_geom,codigo,dgenerica,despecific,dabreviada,tipocalle,direccion,numero,codpostal,localidad,provincia,telefono,fax,latitud,longitud,cartodb_id,created_at,updated_at,nived,cp,regimen
0101000020E6100000FF774485EAE6E6BFA48D23D6E2234340,3013224,INSTITUT D'EDUCACIÓ SECUNDÀRIA,SEVERO OCHOA,IES SEVERO OCHOA,CL,INCA,5,3206,ELX,Alacant,966912260,966912261,38.28036,-0.715688,161,2014-10-03 16:27:18.716891+00,2014-10-04 23:11:22.298364+00,D,03206,true
0101000020E610000050BB5F05F8EEE8BF52499D80263E4340,3015154,INSTITUT D'EDUCACIÓ SECUNDÀRIA,LA CANAL,IES LA CANAL,CL,FELIPE V,4,3610,PETRER,Alacant,966957305,966957306,38.48555,-0.779171,1095,2014-10-03 16:27:18.716891+00,2014-10-04 23:11:22.298364+00,D,03610,true
0101000020E610000026378AAC3514E1BFB41F2922C3824340,46022877,SECCIÓ D'EDUCACIÓ SECUNDÀRIA,DE L'IES DR. LUIS SIMARRO LACABRA A LA LLOSA DE RANES,SECCIÓ DE L'IES DR. LUIS SIMARRO LACABRA A LA LLOSA DE RANES,AV,RONDA DE LA COSTERA,S/N,46815,LLOSA DE RANES (LA),València,962249100,962249101,39.02158,-0.533717,1102,2014-10-03 16:27:18.716891+00,2014-10-04 23:11:22.298364+00,D,46815,true
0101000020E61000009430D3F6AFACB0BF6002B7EEE6F94340,12000251,INSTITUT D'EDUCACIÓ SECUNDÀRIA,ÁLVARO FALOMIR,IES ÁLVARO FALOMIR,CL,BOQUERAS,239,12550,ALMASSORA,Castelló,964738925,964738926,39.95236,-0.065135,2353,2014-10-03 16:27:18.716891+00,2014-10-04 23:11:22.298364+00,D,12550,true
0101000020E6100000BB29E5B512BAE5BF07CE1951DAFF4240,3014575,INSTITUTO DE EDUCACIÓN SECUNDARIA,MARE NOSTRUM,IES MARE NOSTRUM,CL,DELFINA VIUDES,S/N,3183,TORREVIEJA,Alacant,965290205,965290206,37.99885,-0.678964,2230,2014-10-03 16:27:18.716891+00,2014-10-04 23:11:22.298364+00,D,03183,true
0101000020E6100000C8207711A628A73FEE940ED6FF654340,3015142,INSTITUT D'EDUCACIÓ SECUNDÀRIA,,IES DE PEDREGUER,CL,DELS ESMOLADORS,3-5,3750,PEDREGUER,Alacant,966428220,966428221,38.79687,0.045232,3065,2014-10-03 16:27:18.716891+00,2014-10-04 23:11:22.298364+00,D,03750,true
0101000020E6100000C2BD326FD575D0BF17BCE82B48774340,46030394,ESCOLA PÚBLICA DE MÚSICA,MUNICIPAL DE RÓTOVA,E. DE MÚSICA MUNICIPAL DE RÓTOVA,CL,MAYOR,2,46725,RÓTOVA,València,962957011,,38.93189,-0.257192,1886,2014-10-03 16:27:18.716891+00,2014-10-04 23:11:22.298364+00,H,46725,true
0101000020E6100000562B137EA99FF0BF2C0E677E35334340,3007789,INSTITUT D'EDUCACIÓ SECUNDÀRIA,JOSÉ MARHUENDA PRATS,IES MARHUENDA PRATS,CL,PRÍNCIPE DE ASTURIAS,18,3650,PINÓS (EL),Alacant,966957285,966957286,38.40007,-1.03898,2111,2014-10-03 16:27:18.716891+00,2014-10-04 23:11:22.298364+00,D,03650,true
0101000020E6100000D42CD0EE9062DDBF4F401361C3334340,3016201,CENTRE DOCENT PRIVAT ESTRANGER,ENGLISH SCHOOL,CENTRE ESTRANGER ENGLISH SCHOOL,CL,PINTOR GISBERT,3,3110,MUTXAMEL,Alacant,965951017,965254956,38.4044,-0.459141,3028,2014-10-03 16:27:18.716891+00,2014-10-04 23:12:16.36237+00,H,03110,false
0101000020E61000002B4EB51666A1E6BF08944DB9C2234340,3012050,INSTITUT D'EDUCACIÓ SECUNDÀRIA,MONTSERRAT ROIG,IES MONTSERRAT ROIG,CL,CARLET,2,3206,ELX,Alacant,966912250,966912251,38.27938,-0.707202,1134,2014-10-03 16:27:18.716891+00,2014-10-04 23:11:22.298364+00,D,03206,true
0101000020E61000003CC093162E2BE6BF8CD651D504214340,3019861,CENTRE AUTORITZAT D'ENSENYAMENTS ESPORTIUS,CENAFE,CENTRE ENSENYAMENTS ESPORTIUS CENAFE,CL,CURTIDORS,23,3203,ELX,Alacant,638895527,,38.25796,-0.692771,3483,2014-10-03 16:27:18.716891+00,2014-10-04 23:12:16.36237+00,H,03203,false
0101000020E6100000EB1D6E8786C5DDBFBD8C62B9A5AD4340,46030400,ESCOLA PRIVADA DE MÚSICA,L'OM,ESCOLA PRIVADA DE MÚSICA L'OM,CL,ALFARB,10,46220,PICASSENT,València,647748226,,39.35662,-0.465181,1909,2014-10-03 16:27:18.716891+00,2014-10-04 23:12:16.36237+00,H,46220,false
0101000020E61000001E705D3123BCE9BFB020CD58343D4340,3005720,INSTITUTO DE EDUCACIÓN SECUNDARIA,LA MELVA,IES LA MELVA,AV,DE LA MELVA,7,3600,ELDA,Alacant,966957320,966957321,38.47816,-0.804216,1344,2014-10-03 16:27:18.716891+00,2014-10-04 23:11:22.298364+00,D,03600,true
0101000020E61000003201BF4692A0E9BFAC8BDB68003F4340,3018295,ESCUELA OFICIAL DE IDIOMAS,,ESCUELA OFICIAL DE IDIOMAS,CL,PICO VELETA,S/N,3600,ELDA,Alacant,966957690,966957691,38.4922,-0.800851,2409,2014-10-03 16:27:18.716891+00,2014-10-04 23:11:22.298364+00,H,03600,true
0101000020E6100000D5230D6E6BCBF5BFC91F0C3CF7CA4340,46030621,COLEGIO RURAL AGRUPADO,ENTREVIÑAS,CRA ENTREVIÑAS,CL,ESCUELAS,3,46314,FUENTERROBLES,València,962169300,962169301,39.58567,-1.362163,1992,2014-10-03 16:27:18.716891+00,2014-10-04 23:11:22.298364+00,H,46314,true
0101000020E61000003197546D37C1C9BF66BD18CA89524440,12006421,COL·LEGI RURAL AGRUPAT,ELS PORTS,CRA ELS PORTS,CL,EN PROJECTE,S/N,12310,FORCALL,Castelló,964336220,964336221,40.64483,-0.201209,2270,2014-10-03 16:27:18.716891+00,2014-10-04 23:11:22.298364+00,H,12310,true
0101000020E6100000471E882CD244E9BFF08AE07F2BFD4240,3013194,ESCUELA PÚBLICA DE MÚSICA,MUNICIPAL,E. DE MÚSICA MUNICIPAL,CL,QUEIPO DE LLANO,S/N,3193,SAN MIGUEL DE SALINAS,Alacant,965720697,965720007,37.97789,-0.789651,2215,2014-10-03 16:27:18.716891+00,2014-10-04 23:11:22.298364+00,H,03193,true
0101000020E610000078B5DC990906EEBF3997E2AAB20B4340,3007406,INSTITUTO DE EDUCACIÓN SECUNDARIA,GABRIEL MIRÓ,IES GABRIEL MIRÓ,CL,CATEDRÁTICO JOSÉ GUILLÉN,1,3300,ORIHUELA,Alacant,966904715,966904716,38.09139,-0.938237,1015,2014-10-03 16:27:18.716891+00,2014-10-04 23:11:22.298364+00,D,03300,true
0101000020E6100000DCD781734694E5BFB983D89942FF4240,3008629,INSTITUTO DE EDUCACIÓN SECUNDARIA,LAS LAGUNAS,IES LAS LAGUNAS,AV,DE LAS CORTES VALENCIANAS,S/N,3183,TORREVIEJA,Alacant,966926775,966926776,37.99422,-0.67435,14,2014-10-03 16:27:18.716891+00,2014-10-04 23:11:22.298364+00,D,03183,true
0101000020E61000001DE6CB0BB00FE3BFF7E461A1D6704340,46022099,INSTITUT D'EDUCACIÓ SECUNDÀRIA,PORÇONS,IES PORÇONS,CL,JULIÁN JUAN MOMPÓ,3,46812,AIELO DE MALFERIT,València,962919595,962919596,38.88155,-0.595665,2613,2014-10-03 16:27:18.716891+00,2014-10-04 23:11:22.298364+00,D,46812,true
0101000020E61000004546072461DFF0BF492EFF21FD864340,46015733,INSTITUTO DE EDUCACIÓN SECUNDARIA,FERNANDO III,IES FERNANDO III,CL,PINTOR PEDRO CAMARA,19,46620,AYORA,València,961892940,961892941,39.0546,-1.054536,253,2014-10-03 16:27:18.716891+00,2014-10-04 23:11:22.298364+00,D,46620,true
0101000020E6100000990F0874266DDBBFC0B2D2A414944340,46000717,INSTITUT D'EDUCACIÓ SECUNDÀRIA,JOSÉ MARÍA PARRA,IES JOSÉ MARÍA PARRA,CL,DOCTOR FRANCISCO BONO,3,46600,ALZIRA,València,962457860,962457861,39.15688,-0.428537,1473,2014-10-03 16:27:18.716891+00,2014-10-04 23:11:22.298364+00,D,46600,true
0101000020E6100000B5DC99098673B93F499869FB576A4340,3004223,INSTITUT D'EDUCACIÓ SECUNDÀRIA,HISTORIADOR CHABÀS,IES HISTORIADOR CHABÀS,CL,MANUEL VALLALTA,3,3700,DÉNIA,Alacant,966428225,965781662,38.83081,0.099419,756,2014-10-03 16:27:18.716891+00,2014-10-04 23:11:22.298364+00,D,03700,true
0101000020E6100000BEB9BF7ADC37E5BFA306D3307C504340,3014137,INSTITUT D'EDUCACIÓ SECUNDÀRIA,LA CREUETA,IES LA CREUETA,AV,DE LA CONSTITUCIÓN,S/N,3430,ONIL,Alacant,966527680,966527681,38.62879,-0.663069,2091,2014-10-03 16:27:18.716891+00,2014-10-04 23:11:22.298364+00,D,03430,true
0101000020E61000009032E202D0A8E9BF060DFD135C204340,3003978,INSTITUT D'EDUCACIÓ SECUNDÀRIA,MACIÀ ABELA,IES MACIÀ ABELA,AV,MANUEL SANCHIS GUARNER,S/N,3330,CREVILLENT,Alacant,966912225,966912226,38.25281,-0.801857,2167,2014-10-03 16:27:18.716891+00,2014-10-04 23:11:22.298364+00,D,03330,true
0101000020E61000006F66F4A3E114ECBFA7AE7C96E7454340,3015865,SECCIÓN DE EDUCACIÓN SECUNDARIA,DEL IES ANTONIO NAVARRO SANTAFÉ EN VILLENA,SECCIÓN DEL IES ANTONIO NAVARRO SANTAFÉ EN VILLENA,PZ,"DE CABRERAS, POL.39. PARCELA 24",,3400,VILLENA,Alacant,965979311,965979310,38.54613,-0.877549,2939,2014-10-03 16:27:18.716891+00,2014-10-04 23:11:22.298364+00,D,03400,true
0101000020E6100000B726DD96C885E8BF5AB1BFEC9E304340,3013871,CONSERVATORI PROFESSIONAL DE DANSA,DE NOVELDA,CONSERVATORI PROFESSIONAL DE DANSA DE NOVELDA,CL,SALVADOR DE MADARIAGA,16,3660,NOVELDA,Alacant,965600055,,38.37985,-0.766331,915,2014-10-03 16:27:18.716891+00,2014-10-04 23:11:22.298364+00,H,03660,true
0101000020E6100000056A317898F6A5BFCC7A319413FD4340,12005374,INSTITUT D'EDUCACIÓ SECUNDÀRIA,JUAN BAUTISTA PORCAR,IES JUAN BAUTISTA PORCAR,CL,HERRERO,76,12005,CASTELLÓ DE LA PLANA,Castelló,964739285,964739286,39.97716,-0.042897,2079,2014-10-03 16:27:18.716891+00,2014-10-04 23:11:22.298364+00,D,12005,true
0101000020E6100000730987DEE2E19DBF5F07CE1951FE4340,12001231,INSTITUT D'EDUCACIÓ SECUNDÀRIA,PENYAGOLOSA,IES PENYAGOLOSA,CL,MONCÓFAR,S/N,12003,CASTELLÓ DE LA PLANA,Castelló,964738970,964738971,39.98685,-0.029182,2324,2014-10-03 16:27:18.716891+00,2014-10-04 23:11:22.298364+00,D,12003,true
0101000020E61000005ABBED42739DDDBF2A6F47382DB84340,46019556,ESCOLA PRIVADA DE MÚSICA,UNIÓ MUSICAL TORRENT,ESCOLA PRIVADA DE MÚSICA UNIÓ MUSICAL TORRENT,CL,BELLIDO,11,46900,TORRENT,València,961571354,,39.43888,-0.462735,1939,2014-10-03 16:27:18.716891+00,2014-10-04 23:12:16.36237+00,H,46900,false
0101000020E6100000B73EAC376A85DFBFE8263108AC2C4340,3011136,ESCOLA OFICIAL D'IDIOMES,,ESCOLA OFICIAL D'IDIOMES,CL,MARQUÉS DE MOLINS,56-58,3004,ALACANT,Alacant,965937015,965937016,38.349,-0.492518,958,2014-10-03 16:27:18.716891+00,2014-10-04 23:11:22.298364+00,H,03004,true
0101000020E6100000282CF180B229EBBFC4AC1743390D4340,3016845,C. DOCEN. PÚB. DE FORMACIÓN BÁSICA DE PER. ADULTAS,MUNICIPAL DE RAFAL,CENTRO FPA MUNICIPAL DE RAFAL,CL,FÉLIX RODRÍGUEZ DE LA FUENTE,2,3369,RAFAL,Alacant,966752267,,38.10331,-0.84884,2311,2014-10-03 16:27:18.716891+00,2014-10-04 23:11:22.298364+00,G,03369,true
0101000020E6100000A6B228ECA2E8CBBF43AD69DE714A4440,12006226,ESCOLA PÚBLICA DE MÚSICA,MUNICIPAL,E. DE MÚSICA MUNICIPAL,CL,PILAR,S/N,12318,CINCTORRES,Castelló,964181001,,40.5816,-0.218037,3115,2014-10-03 16:27:18.716891+00,2014-10-04 23:11:22.298364+00,H,12318,true
0101000020E6100000F15EB532E197CCBFE2CCAFE600D54340,46019854,INSTITUT D'EDUCACIÓ SECUNDÀRIA,MARÍA MOLINER,IES MARÍA MOLINER,CL,DOLORES IBARRURI LA PASIONARIA,16,46520,SAGUNT PUERTO SAGUNTO (EL),València,962617740,962617741,39.66409,-0.223385,2848,2014-10-03 16:27:18.716891+00,2014-10-04 23:11:22.298364+00,D,46520,true
0101000020E61000008CD827806264DBBF7F4DD6A887A44340,46034521,ESCOLA PRIVADA DE MÚSICA,SAM DE BENIFAIÓ,ESCOLA PRIVADA DE MÚSICA SAM DE BENIFAIÓ,CL,JOSÉ MOROTE,3,46450,BENIFAIÓ,València,,,39.28539,-0.428002,3259,2014-10-03 16:27:18.716891+00,2014-10-04 23:12:16.36237+00,H,46450,false
0101000020E6100000967B8159A1C8E8BF27A5A0DB4BB24340,46029604,COLEGIO RURAL AGRUPADO,ALBORACHE-MACASTRE,CRA ALBORACHE-MACASTRE,CM,DE YÁTOVA,2,46369,ALBORACHE,València,961808410,961808411,39.39294,-0.774491,3081,2014-10-03 16:27:18.716891+00,2014-10-04 23:11:22.298364+00,H,46369,true
0101000020E61000007D410B09185DD9BFE882FA9639B54340,46029938,C. DOCENT PÚB. DE FORMACIÓ BÀSICA DE PER. ADULTES,MUNICIPAL NÚMERO 2 D'ALFAFAR,CENTRE FPA MUNICIPAL NÚMERO 2 D'ALFAFAR,BO,D'ORBA,22,46910,ALFAFAR,València,963182443,,39.41582,-0.396307,1820,2014-10-03 16:27:18.716891+00,2014-10-04 23:11:22.298364+00,G,46910,true
0101000020E6100000C3D4963AC8EBE7BFE5B8533A58034340,3014897,SECCIÓN DE EDUCACIÓN SECUNDARIA,DEL IES ANTONIO SEQUEROS EN LOS MONTESINOS,SECCIÓN DEL IES ANTONIO SEQUEROS EN LOS MONTESINOS,CL,DIEGO MONTESINOS,8,3187,MONTESINOS (LOS),Alacant,965290215,965290216,38.02613,-0.747532,2232,2014-10-03 16:27:18.716891+00,2014-10-04 23:11:22.298364+00,D,03187,true
0101000020E61000007BA35698BED7B8BF8481E7DEC3494340,3015117,INSTITUT D'EDUCACIÓ SECUNDÀRIA,L'ARABÍ,IES L'ARABÍ,AV,DE LA CONSTITUCIÓ,S/N,3580,ALFÀS DEL PI (L'),Alacant,966870135,966870136,38.57629,-0.097042,2233,2014-10-03 16:27:18.716891+00,2014-10-04 23:11:22.298364+00,D,03580,true
0101000020E6100000FB9463B2B8FFDABF7BA01518B22E4340,3017485,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,MEDITERRÁNEO,CEIP MEDITERRÁNEO,CL,DEPORTISTA JOSÉ BAÑÓN,S/N,3540,ALACANT,Alacant,965937380,965937381,38.36481,-0.421858,2987,2014-10-03 16:27:18.716891+00,2014-10-04 23:11:22.298364+00,AB,03540,true
0101000020E61000000AD9791B9B9DECBF179F02603C0B4340,3006955,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,NUESTRA SEÑORA DEL PILAR,CEIP NUESTRA SEÑORA DEL PILAR,CL,VEGA BAJA,S/N,3325,ORIHUELA CAMPANETA (LA),Alacant,966748335,966748336,38.08778,-0.894239,667,2014-10-03 16:27:18.716891+00,2014-10-04 23:11:22.298364+00,AB,03325,true
0101000020E61000000ABDFE243E77DBBF462575029AD44340,46005788,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,EMILIO LLUCH,CEIP EMILIO LLUCH,CL,LAS ESCUELAS,6,46119,NÁQUERA,València,961606955,961606956,39.66095,-0.429153,339,2014-10-03 16:27:18.716891+00,2014-10-04 23:11:22.298364+00,AB,46119,true
0101000020E61000008B82E0F1ED5DEEBFFCDEA63FFB094340,3011239,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,MIGUEL HERNÁNDEZ,CEIP MIGUEL HERNÁNDEZ,CR,"DE ARNEVA, KM. 0,4",,3300,ORIHUELA,Alacant,966904185,966904186,38.07798,-0.948966,1016,2014-10-03 16:27:18.716891+00,2014-10-04 23:11:22.298364+00,AB,03300,true
0101000020E610000041AF3F89CF1DE6BFBD18CA8976FD4240,3011586,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,EL ACEQUIÓN,CEIP EL ACEQUIÓN,CL,DE BARCELONA,S/N,3184,TORREVIEJA,Alacant,965714604,966703943,37.98018,-0.691139,176,2014-10-03 16:27:18.716891+00,2014-10-04 23:11:22.298364+00,AB,03184,true
0101000020E61000005CE2C80391C5EEBF5E984C158C124340,3002883,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,ARGENTINA,CEIP ARGENTINA,CR,ABANILLA,4,3316,BENFERRI,Alacant,966904220,966904221,38.1449,-0.961617,384,2014-10-03 16:27:18.716891+00,2014-10-04 23:11:22.298364+00,AB,03316,true
0101000020E6100000F22554707841D3BFD2C6116BF1814340,46023717,ESCOLA PRIVADA DE MÚSICA,SOCIEDAD INSTRUCTIVO MUSICAL SANTA CECILIA,ESCOLA PRIVADA DE MÚSICA SOC. INSTRUCT. MUSICAL STA.CECILIA,CL,MUNTANYA,11,46758,BARX,València,962811343,,39.01518,-0.300871,2026,2014-10-03 16:27:18.716891+00,2014-10-04 23:12:16.36237+00,H,46758,false
0101000020E6100000CF8767093202DABF8369183E22C24340,46019714,ESCOLA PRIVADA DE MÚSICA,CENTRO MUSICAL,ESCOLA PRIVADA DE MÚSICA CENTRO MUSICAL,PZ,SANTA MAGDALENA SOFÍA,S/N,46110,GODELLA,València,963900787,,39.51667,-0.406384,2847,2014-10-03 16:27:18.716891+00,2014-10-04 23:12:16.36237+00,H,46110,false
0101000020E6100000B54FC763062ADCBF02BC051214934340,46028612,CENTRE PRIVAT FORMACIÓ PROFESSIONAL ESPECÍFICA,DANIEL MATALLÍN,CENTRE PRIVAT FP DANIEL MATALLÍN,CL,SENYERA VALENCIANA,5,46600,ALZIRA,València,962401319,,39.14905,-0.440065,2813,2014-10-03 16:27:18.716891+00,2014-10-04 23:12:16.36237+00,F,46600,false
0101000020E61000009F6EA0C03BF9BC3FDDCD531D726B4340,3013844,ESCOLA PRIVADA DE MÚSICA,MANUEL LATTUR,ESCOLA PRIVADA DE MÚSICA MANUEL LATTUR,CL,MANUEL LATTUR,7,3700,DÉNIA,Alacant,966420600,,38.83942,0.113178,276,2014-10-03 16:27:18.716891+00,2014-10-04 23:12:16.36237+00,H,03700,false
0101000020E6100000C89750C1E105EEBF8D3BA583F50B4340,3007418,INSTITUTO DE EDUCACIÓN SECUNDARIA,EL PALMERAL,IES EL PALMERAL,AV,DEL DOCTOR GARCÍA ROGEL,28,3300,ORIHUELA,Alacant,966904720,966904721,38.09343,-0.938218,1350,2014-10-03 16:27:18.716891+00,2014-10-04 23:11:22.298364+00,D,03300,true
0101000020E6100000CF2F4AD05FE8913F9291B3B0A7694340,3016808,C. DOCENT PÚB. DE FORMACIÓ BÀSICA DE PER. ADULTES,MUNICIPAL ELS PINS,CENTRE FPA MUNICIPAL ELS PINS,CL,MENÉNDEZ PIDAL,2,3760,ONDARA,Alacant,965766000,965766081,38.82543,0.017488,2485,2014-10-03 16:27:18.716891+00,2014-10-04 23:11:22.298364+00,G,03760,true
0101000020E6100000DE770C8FFD2CE1BFD3139678409D4340,46002787,INSTITUT D'EDUCACIÓ SECUNDÀRIA,9 D'OCTUBRE,IES 9 D'OCTUBRE,CM,DEPÒSITS,38,46240,CARLET,València,962980150,962980151,39.22853,-0.536742,264,2014-10-03 16:27:18.716891+00,2014-10-04 23:11:22.298364+00,D,46240,true
0101000020E610000066DCD440F339D5BFADB6627FD9F94340,12005222,ESCOLA PRIVADA DE MÚSICA,UNIÓN MUSICAL,ESCOLA PRIVADA DE MÚSICA LA UNIÓN MUSICAL,CL,PORTELL,3-5,12223,SUERA,Castelló,964602256,964602352,39.95195,-0.331662,496,2014-10-03 16:27:18.716891+00,2014-10-04 23:12:16.36237+00,H,12223,false
0101000020E6100000D40B3ECDC98BDABF183E22A644C24340,46022865,INSTITUT D'EDUCACIÓ SECUNDÀRIA,COMARCAL,IES COMARCAL,AV,MARÍA ROS,S/N,46100,BURJASSOT,València,961206290,961206291,39.51772,-0.414782,1101,2014-10-03 16:27:18.716891+00,2014-10-04 23:11:22.298364+00,D,46100,true
0101000020E6100000B56D1805C1E3C1BFA27A6B60AB304440,12005507,SECCIÓ D'EDUCACIÓ SECUNDÀRIA,DE L'IES ALFONSO XIII A BENASAL,SECCIÓ DE L'IES ALFONSO XIII A BENASAL,CL,SAN ISIDRO,2,12160,BENASAL,Castelló,964336140,964336141,40.38023,-0.139763,2247,2014-10-03 16:27:18.716891+00,2014-10-04 23:11:22.298364+00,D,12160,true
0101000020E61000006092CA147310D2BF3D2CD49AE6D94340,46026986,CENTRE AUTORITZAT D'ENSENYANCES ARTÍSTIQUES PROFESSIONALS DE MÚSICA,JUAN SEBASTIÁN BACH,CENTRE ENS. PROFESSIONALS DE MÚSICA JUAN SEBASTIÁN BACH,CT,DE PETRÉS,S/N,46500,SAGUNT,València,962655757,962650166,39.70235,-0.282254,2265,2014-10-03 16:27:18.716891+00,2014-10-04 23:12:16.36237+00,H,46500,false
0101000020E61000004415FE0C6FD6DBBF7ADFF8DA33C34340,46022403,SECCIÓ D'EDUCACIÓ SECUNDÀRIA,DE L'IES DOCTOR PESET ALEIXANDRE A PATERNA,SECCIÓ DE L'IES DOCTOR PESET ALEIXANDRE A PATERNA,CL,XIRIVELLA,6,46980,PATERNA,València,961206335,961206336,39.52502,-0.434963,2148,2014-10-03 16:27:18.716891+00,2014-10-04 23:11:22.298364+00,D,46980,true
0101000020E6100000D653ABAFAE0ADA3F8BC3995FCD2D4440,12006676,C. DOCENT PÚB. DE FORMACIÓ BÀSICA DE PER. ADULTES,MUNICIPAL DE PEÑÍSCOLA,CENTRE FPA MUNICIPAL DE PEÑÍSCOLA,CL,JUAN JOSÉ FULLADOSA,29,12598,PENÍSCOLA,Castelló,964480050,,40.35783,0.406902,2627,2014-10-03 16:27:18.716891+00,2014-10-04 23:11:22.298364+00,G,12598,true
0101000020E6100000D449B6BA9C12903F390B7BDAE16B4340,3017001,ESCOLA INFANTIL DE PRIMER CICLE,MUNICIPAL,EI 1er CICLE MUNICIPAL,AV,JUAN CARLOS I,S/N,3770,VERGER (EL),Alacant,965750125,,38.84283,0.015696,2636,2014-10-03 16:27:18.716891+00,2014-10-04 23:11:22.298364+00,A,03770,true
0101000020E6100000A4C684984BAAEBBF12143FC6DC514340,3009178,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PRINCIPE D.JUAN MANUEL,CEIP PRINCIPE D.JUAN MANUEL,CL,SAX,5,3400,VILLENA,Alacant,965823715,965823716,38.63955,-0.864538,1814,2014-10-03 16:27:18.716891+00,2014-10-04 23:11:22.298364+00,AB,03400,true
0101000020E61000009A5FCD0182B9E1BF1AC05B2041754340,46029461,ESCOLA PRIVADA DE MÚSICA,AGRUPACIÓ ESCOLA MUSICAL LA NOVA DE L'OLLERIA,ESCOLA PRIVADA DE MÚSICA A.E.MUSICAL LA NOVA DE L'OLLERIA,PC,BEAT PARE FERRERES,S/N,46850,OLLERIA (L'),València,,,38.91605,-0.553895,3071,2014-10-03 16:27:18.716891+00,2014-10-04 23:12:16.36237+00,H,46850,false
